"NGACV","NGCCV","NGICV","NGRCV","NNACB","NNCCB","NNICB","NNRCB","PAACB","PAACV","PACCB","PACCV","PAICB","PAICV","PARCB","PARCV"
"18",0,666.72876,2507.94629,1097.68514,84403.71408,163133.7983,1881720.41,219606.1166,1944462.881,11725.76821,52814.19323,246.72013,2051318.378,6803.31729,23899.1841,179.79121
"19",0,734.79214,3131.13371,1127.47016,111838.8327,182400.0218,2074213.02,218375.9943,2031393.702,11941.83649,43337.13753,200.64758,2224131.906,6743.01332,20904.81051,163.12126
"20",0,750.7747,3476.87244,1277.27781,111427.2207,189890.6862,2162077.128,239193.9975,2036434.049,13036.08795,39055.98716,197.17968,2239696.184,6161.50137,22047.52557,219.15621
"21",0.03045,713.63,3188.65807,1216.53532,110526.1135,179527.4121,2193460.59,219450.183,2042654.126,15462.98036,31686.43784,210.72546,2307150.484,8659.88854,20220.471,209.5175
"22",0.0108,725.88027,2915.66828,1269.42672,85246.84532,188157.4442,2152204.475,231021.3126,2015984.568,14698.9002,26905.69391,161.13625,2373764.661,8885.78319,13384.27355,155.55778
"23",0.79498,755.12831,3112.54029,1239.78894,85138.01087,193919.4188,2129379.372,225431.2553,2062121.364,14672.86207,25132.29178,146.90694,2512347.691,8740.97522,11415.44833,114.318
"24",1.10495,783.84817,3873.31949,1368.77351,84732.94297,180981.9855,2177423.369,238377.347,2058330.536,14810.26658,16002.73317,72.79566,2451824.645,8152.15071,12141.81654,118.18655
"25",0.79947,780.22226,3300.99267,1278.03532,100020.0642,187938.297,2157410.13,222559.1923,2100272.209,15262.44902,17523.71172,92.46736,2611857.008,10074.53776,12041.87915,118.53642
"26",0.95979,857.61839,2991.12363,1221.56179,85689.76029,218453.5918,2280598.489,215150.0145,2082077.049,15358.20826,19961.29535,103.95262,2630919.081,10365.21608,11011.26835,111.35307
"27",1.47268,761.69086,4669.2202,1349.76371,78794.92165,185094.7618,2531929.864,237724.4402,2261401.493,17868.98899,18963.39364,110.40194,2889527.066,13806.30902,7756.18688,88.88437
"28",0.77159,1062.19192,4908.19768,1485.12416,84836.52291,222841.9851,2421833.959,242058.6406,2319654.209,17622.82371,18578.10335,112.13027,3161894.133,13958.002,11686.46937,142.12436
"29",1.41677,753.07044,3826.9723,1228.63849,69913.86365,178048.5164,2445036.359,209377.2889,2456400.473,15831.81465,23553.353,115.00995,3087395.5,10441.87372,15020.02838,166.24514
"30",3.03741,758.97462,4013.1993,1071.273,74044.99691,178184.7917,2226957.913,182536.1029,2438074.602,17324.31562,26911.09201,167.33851,3016682.949,11919.09074,29854.16477,337.40511
"31",4.18695,1079.86978,7398.43355,1434.24122,65176.802,196820.2014,2477370.909,200025.2739,2500328.944,23910.80114,44730.60566,374.54404,2837668.48,16944.77616,35191.88346,542.35751
"32",13.63299,1113.57179,7710.81029,1855.19637,73004.11582,175854.3516,2375171.796,213309.3367,2603710.426,23377.94827,34693.15297,305.39291,2726516.297,13851.28127,40172.8775,657.71262
"33",10.26841,1242.24048,5783.33442,1530.53912,93795.17954,233776.6053,2325338.751,216912.4049,2677025.316,22830.43639,25727.49866,211.40296,2826094.702,13476.51201,35797.32756,507.4451
"34",17.89349,1658.90679,8622.48044,1905.71741,60103.47877,224901.1397,2198742.507,212685.9788,2595580.134,25826.87661,28866.94799,276.55924,2953080.378,17973.81347,30889.29266,522.8506
"35",21.32205,1612.65434,9353.79826,1985.92769,59866.04098,198859.8975,2160830.536,197422.645,2642718.898,32215.89888,18655.87232,220.29476,3106325.016,24216.44575,25118.10961,480.22186
"36",19.05607,1674.90972,8584.18883,2310.35095,85397.40693,164445.1178,1677572.345,190300.351,2643328.741,42302.25799,26512.58756,401.1228,2957734.091,28370.29965,28925.14597,650.08536
"37",18.79416,1510.49918,7236.8703,2179.21022,89413.13038,151231.2439,1637042.645,170585.1721,2773186.457,50256.5516,23808.59095,412.09262,3289510.685,38762.77086,21870.08741,544.36842
"38",18.23349,1575.45886,7498.06566,2397.62303,94407.26051,166316.5913,1667674.665,206073.7745,2812628.147,54960.03847,18984.80617,344.66533,3265615.581,42984.89693,23801.43249,633.2517
"39",22.66798,1880.20116,10057.54831,2650.31303,114417.5619,171572.9601,1700716.381,197875.2225,2755298.754,66521.26957,23289.33279,580.17104,2910169.321,50047.20357,22579.25597,697.40404
"40",10.76527,1365.63389,4037.00234,2150.99714,98081.96436,171497.4122,1579792.971,196980.6465,2625373.67,43105.35279,28421.75638,448.70874,2823373.942,30067.48548,19095.28181,503.67214
