"NGACV","NGCCV","NGICV","NGRCV","NNACB","NNCCB","NNICB","NNRCB","PAACB","PAACV","PACCB","PACCV","PAICB","PAICV","PARCB","PARCV"
"16",0,1359.69278,1745.80855,3016.13734,14960.34288,212934.0931,449515.4143,547793.0076,2344797.943,17996.94877,37188.72084,280.30624,717641.0202,2707.53194,18100.93478,154.97086
"17",0,1070.35822,1252.11543,2384.67668,12793.1001,189475.1207,443284.7537,481277.4209,2430179.815,14148.23651,53846.84425,238.24139,679945.8115,1979.30937,15550.08988,159.2834
"18",0,1153.9401,1637.51552,2648.27019,19438.97492,218443.7621,570724.651,516573.3675,2553913.487,15189.53935,59934.27765,304.411,692385.5758,2216.60091,18670.76159,218.48429
"19",0,1162.49711,1557.203,2803.85915,19746.59526,255548.3496,500800.5689,511450.603,2703209.556,16148.60074,55621.06537,267.31237,685233.781,1869.02812,20321.52838,220.98692
"20",0,1264.23414,1712.7649,2873.25868,19962.67068,269368.26,548403.245,534620.428,2790242.808,18156.36525,48461.40042,269.56885,638276.1429,1792.15237,22213.9508,249.13943
"21",0.02103,1460.51499,1967.67034,2971.27626,20780.30222,294207.1669,606719.6176,530960.5108,2806241.843,20853.89906,45926.64685,298.15699,614730.0246,1893.29979,19895.27021,237.16642
"22",0.05278,1582.1341,2147.03892,3190.03946,19006.10838,295186.9388,725496.0245,522101.3846,2663584.271,18688.68395,46946.02184,293.40969,527282.4693,1569.20183,23568.4752,289.19724
"23",2.84942,1466.65098,1981.91057,2861.8724,15610.52612,292580.6041,705045.1963,492277.9101,2660664.288,20538.20212,26690.41474,190.90624,552586.8315,1655.05742,16729.86219,214.10625
"24",2.64076,1509.9535,1571.98847,3123.0365,12825.98108,259815.8352,726181.6294,520050.1722,2624371.063,20062.36731,20833.24307,138.92898,498889.583,1485.78144,17590.19241,238.02329
"25",3.01218,1865.62683,1806.12556,3326.3212,12969.05534,267027.3777,688936.0319,530976.9763,2740085.829,20336.1397,20307.89822,134.71844,528465.5531,1611.49069,17454.70663,214.16998
"26",4.66252,1730.827,2156.56026,3067.43169,20001.2085,281816.08,705432.0271,482728.6596,2796105.766,21023.73297,25186.98083,164.30979,488964.0432,1506.95279,16945.6568,202.69175
"27",5.29586,1399.83205,2162.84615,3048.59029,20060.1793,243121.7886,726368.0275,489525.7733,2843175.017,23451.37939,21037.16002,158.93823,499103.5133,1520.30328,14330.60823,179.24227
"28",6.88353,1627.64528,2734.88677,3261.33564,24433.99244,258267.4344,807302.7329,487098.0312,2773054.95,23987.66566,19977.57855,142.44939,491584.1523,1512.7596,13338.7139,171.19662
"29",7.18835,1786.03225,2525.35071,3805.52117,10866.55978,298055.5403,864794.6134,580924.6464,2794435.122,20831.60443,24167.28314,151.26783,474507.5377,1421.1705,21572.06959,256.17374
"30",9.31227,1502.46502,2162.27188,3763.44635,11610.967,248298.2326,803612.0412,576852.9531,2855418.454,25161.83935,23626.70208,170.56842,526127.2787,1695.86268,20109.2488,245.11794
"31",13.93856,1858.15396,3635.93347,4242.35397,11526.53616,235677.4354,803824.8276,494164.6342,3003273.548,32578.64212,25429.39077,244.89943,519670.778,2184.38495,19795.31828,304.40342
"32",17.67683,2293.26646,3888.14501,5347.40734,13837.26762,249599.8985,730253.5445,520631.6171,2949859.407,30866.90602,22338.01094,196.58274,612901.4108,2510.22084,15247.61326,247.14299
"33",12.17329,1446.52937,3213.64028,3633.1747,12647.83732,242897.8172,799969.5154,520836.725,3115354.852,29993.30179,18881.0014,158.81537,580451.7631,2382.64378,15523.3647,233.434
"34",19.69548,1898.23485,4971.35628,4546.32621,12330.28204,237551.9477,837461.6482,507874.0759,3253299.642,38057.14719,19691.92858,210.01342,518990.9366,2232.3921,21149.27579,373.37984
"35",26.74258,1998.68024,5923.11702,5048.77386,17144.05865,236221.8595,893412.3233,522271.6433,3174816.699,44951.69409,22637.97778,308.94394,542591.7189,2898.33009,25829.8852,518.37895
"36",82.82273,2491.64226,6896.90177,5731.82954,20652.68528,238472.7764,841136.9207,494886.4709,3260887.315,55000.39054,21974.19149,367.1451,528006.1157,3238.98122,29288.50093,682.25797
"37",78.33765,2549.43165,6010.58749,5798.04745,17297.23731,250003.1034,809807.2379,502984.4352,3316062.777,63288.43779,16882.40043,326.86277,508097.1317,3498.61158,25696.68584,691.81991
"38",84.97789,2560.4451,5873.59785,5696.81662,20256.77879,254141.7505,807888.0404,498493.762,3357968.903,68534.05262,19547.58184,404.15954,493452.7912,3516.89633,25907.45189,757.9939
"39",132.50063,2949.77788,6733.39913,6238.62481,20017.10529,258378.0245,810604.7668,503596.5698,3191446.474,79695.61779,26289.30544,673.0651,447711.8968,4233.94061,31513.00295,1059.20351
"40",99.93447,1918.66631,4023.16954,4532.26391,19952.36172,254251.9143,792794.1734,493593.9878,3100643.971,55430.51398,31515.56238,521.34011,408126.3787,2943.14579,31259.22574,849.60011
